Temperature,GVelocity,LVelocity,VoidFraction,Location
323.01,1.87E-05,0.57397,0.0023668,0.009141
323.01,1.81E-05,0.57028,0.0023527,0.0091245
323.01,1.74E-05,0.56659,0.0023385,0.009108
323.01,1.68E-05,0.56291,0.0023244,0.0090915
323.01,1.61E-05,0.55922,0.0023102,0.009075
323.01,1.55E-05,0.5544,0.0022967,0.0090585
323.01,1.49E-05,0.54937,0.0022833,0.009042
323.01,1.43E-05,0.54434,0.0022699,0.0090255
323.01,1.37E-05,0.53931,0.0022565,0.009009
323.01,1.30E-05,0.53428,0.0022432,0.0089925
323.01,1.24E-05,0.52925,0.0022298,0.008976
323.01,1.18E-05,0.52422,0.0022164,0.0089595
323.01,1.12E-05,0.51919,0.002203,0.008943
323.01,1.06E-05,0.51176,0.0021906,0.0089265
323.01,1.01E-05,0.50425,0.0021783,0.00891
323.01,9.53E-06,0.49674,0.0021659,0.0088935
323.01,8.98E-06,0.48923,0.0021536,0.008877
323.01,8.42E-06,0.48172,0.0021412,0.0088605
323.01,7.87E-06,0.47421,0.0021288,0.008844
323.01,7.31E-06,0.4667,0.0021165,0.0088275
323.01,6.80E-06,0.45603,0.0021064,0.008811
323.01,6.32E-06,0.4432,0.0020979,0.0087945
323.01,5.84E-06,0.43037,0.0020894,0.008778
323.01,5.36E-06,0.41753,0.0020809,0.0087615
323.01,4.88E-06,0.4047,0.0020724,0.008745
323.01,4.40E-06,0.39187,0.0020639,0.0087285
323.01,3.92E-06,0.37904,0.0020554,0.008712
323.01,3.52E-06,0.35876,0.0020578,0.0086955
323.01,3.15E-06,0.33504,0.0020652,0.008679
323.01,2.79E-06,0.31132,0.0020727,0.0086625
323.01,2.43E-06,0.2876,0.0020802,0.008646
323.01,2.06E-06,0.26388,0.0020876,0.0086295
323.01,1.70E-06,0.24016,0.0020951,0.008613
323.01,1.36E-06,0.21372,0.0021033,0.0085965
323.01,1.13E-06,0.17717,0.002114,0.00858
323.01,8.97E-07,0.14063,0.0021248,0.0085635
323.02,6.64E-07,0.10409,0.0021356,0.008547
323.02,4.31E-07,0.067548,0.0021464,0.0085305
323.02,1.98E-07,0.031005,0.0021572,0.008514
