CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location
500,50,0.01,0.010542,0.015131
500,50,0.01,0.010462,0.015114
500,50,0.01,0.010381,0.015097
500,50,0.01,0.010301,0.015081
500,50,0.01,0.010221,0.015065
500,50,0.01,0.01014,0.015048
500,50,0.01,0.01006,0.015031
500,50,0.01,0.0099793,0.015015
500,50,0.01,0.0098989,0.014999
500,50,0.01,0.0098185,0.014982
500,50,0.01,0.0097381,0.014965
500,50,0.01,0.0096578,0.014949
500,50,0.01,0.0095823,0.014933
500,50,0.01,0.0095123,0.014916
500,50,0.01,0.0094423,0.014899
500,50,0.01,0.0093722,0.014883
500,50,0.01,0.0093022,0.014867
500,50,0.01,0.0092322,0.01485
500,50,0.01,0.0091622,0.014833
500,50,0.01,0.0090922,0.014817
500,50,0.01,0.0090222,0.014801
500,50,0.01,0.0089521,0.014784
500,50,0.01,0.0088821,0.014767
500,50,0.01,0.0088121,0.014751
500,50,0.01,0.0087422,0.014735
500,50,0.01,0.0086805,0.014718
500,50,0.01,0.0086189,0.014701
500,50,0.01,0.0085572,0.014685
500,50,0.01,0.0084955,0.014669
500,50,0.01,0.0084339,0.014652
500,50,0.01,0.0083722,0.014635
500,50,0.01,0.0083105,0.014619
500,50,0.01,0.0082489,0.014603
500,50,0.01,0.0081872,0.014586
500,50,0,0.0081256,0.01457
500,50,0,0.0080639,0.014553
500,50,0,0.0080022,0.014536
500,50,0,0.0079406,0.01452
500,50,0,0.0078837,0.014504
500,50,0,0.0078289,0.014487
500,50,0,0.007774,0.01447
500,50,0,0.0077192,0.014454
500,50,0,0.0076643,0.014438
500,50,0,0.0076095,0.014421
500,50,0,0.0075546,0.014404
500,50,0,0.0074998,0.014388
500,50,0,0.0074449,0.014372
500,50,0,0.0073901,0.014355
500,50,0,0.0073352,0.014338
500,50,0,0.0072804,0.014322
500,50,0,0.0072255,0.014306
500,50,0,0.0071707,0.014289
500,50,0,0.0071192,0.014272
500,50,0,0.0070713,0.014256
500,50,0,0.0070233,0.01424
500,50,0,0.0069754,0.014223
500,50,0,0.0069274,0.014206
500,50,0,0.0068795,0.01419
500,50,0,0.0068316,0.014174
500,50,0,0.0067836,0.014157
500,50,0,0.0067357,0.01414
500,50,0,0.0066877,0.014124
500,50,0,0.0066398,0.014108
500,50,0,0.0065918,0.014091
500,50,0,0.0065439,0.014074
500,50,0,0.0064959,0.014058
500,50,0,0.006448,0.014042
500,50,0,0.0064019,0.014025
500,50,0,0.0063597,0.014008
500,50,0,0.0063176,0.013992
500,50,0,0.0062754,0.013976
500,50,0,0.0062333,0.013959
500,50,0,0.0061911,0.013942
500,50,0,0.006149,0.013926
500,50,0,0.0061068,0.01391
500,50,0,0.0060647,0.013893
500,50,0,0.0060225,0.013876
500,50,0,0.0059803,0.01386
500,50,0,0.0059382,0.013844
500,50,0,0.005896,0.013827
500,50,0,0.0058539,0.01381
500,50,0,0.0058117,0.013794
500,50,0,0.0057696,0.013778
500,50,0,0.005728,0.013761
500,50,0,0.0056912,0.013744
500,50,0,0.0056543,0.013728
500,50,0,0.0056174,0.013711
500,50,0,0.0055805,0.013695
500,50,0,0.0055436,0.013679
500,50,0,0.0055067,0.013662
500,50,0,0.0054698,0.013645
500,50,0,0.005433,0.013629
500,50,0,0.0053961,0.013613
500,50,0,0.0053592,0.013596
500,50,0,0.0053223,0.013579
500,50,0,0.0052854,0.013563
500,50,0,0.0052485,0.013547
500,50,0,0.0052116,0.01353
500,50,0,0.0051747,0.013513
500,50,0,0.0051379,0.013497
500,50,0,0.005101,0.013481
500,50,0,0.0050681,0.013464
500,50,0,0.0050361,0.013447
500,50,0,0.005004,0.013431
500,50,0,0.004972,0.013415
500,50,0,0.00494,0.013398
500,50,0,0.004908,0.013381
500,50,0,0.0048759,0.013365
500,50,0,0.0048439,0.013349
500,50,0,0.0048119,0.013332
500,50,0,0.0047799,0.013315
500,50,0,0.0047478,0.013299
500,50,0,0.0047158,0.013283
500,50,0,0.0046838,0.013266
500,50,0,0.0046517,0.013249
500,50,0,0.0046197,0.013233
500,50,0,0.0045877,0.013217
500,50,0,0.0045557,0.0132
500,50,0,0.0045236,0.013183
500,50,0,0.0044931,0.013167
500,50,0,0.0044655,0.013151
500,50,0,0.0044378,0.013134
500,50,0,0.0044101,0.013117
500,50,0,0.0043824,0.013101
500,50,0,0.0043547,0.013085
500,50,0,0.004327,0.013068
500,50,0,0.0042993,0.013051
500,50,0,0.0042716,0.013035
500,50,0,0.0042439,0.013019
500,50,0,0.0042162,0.013002
500,50,0,0.0041885,0.012985
500,50,0,0.0041609,0.012969
500,50,0,0.0041332,0.012953
500,50,0,0.0041055,0.012936
500,50,0,0.0040778,0.012919
500,50,0,0.0040501,0.012903
500,50,0,0.0040224,0.012886
500,50,0,0.0039947,0.01287
500,50,0,0.003967,0.012854
500,50,0,0.003942,0.012837
500,50,0,0.0039185,0.01282
500,50,0,0.003895,0.012804
500,50,0,0.0038715,0.012788
500,50,0,0.003848,0.012771
500,50,0,0.0038245,0.012754
500,50,0,0.003801,0.012738
500,50,0,0.0037774,0.012722
500,50,0,0.0037539,0.012705
500,50,0,0.0037304,0.012688
500,50,0,0.0037069,0.012672
500,50,0,0.0036834,0.012656
500,50,0,0.0036599,0.012639
500,50,0,0.0036364,0.012622
500,50,0,0.0036129,0.012606
500,50,0,0.0035894,0.01259
